X,Y,id,lbl,fip,mmt_id,short__frm,long_frm,adm0,adm1,adm2,adm3,adm4,adm5,stl-0,stl-1,stl-2,stl-3,stl-4,stl-5,bbox
-1.07377496008231,6.24543741357597,63,GHA-63,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Kwaebibirem,-,-,-,92,4,10,-,-,-,"[ -1.246900, 5.944760, -0.804280, 6.545670 ]"
-1.36461435323356,6.08546996799522,64,GHA-64,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Kwahu South,-,-,-,92,4,11,-,-,-,"[ -1.622950, 5.855120, -1.198970, 6.315260 ]"
-1.37323877315774,5.79900449155427,65,GHA-65,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Kwahu West,-,-,-,92,4,12,-,-,-,"[ -1.608190, 5.658370, -1.147820, 5.939870 ]"
-1.51665123060934,5.53006405353123,66,GHA-66,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Manya Krobo,-,-,-,92,4,13,-,-,-,"[ -1.832750, 5.241250, -1.283980, 5.818980 ]"
-2.02819561024103,5.81339292025958,67,GHA-67,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,New-Juaben Municipal,-,-,-,92,4,14,-,-,-,"[ -2.258000, 5.589780, -1.784200, 6.035820 ]"
-2.17170665455387,6.54475820193156,68,GHA-68,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Suhum/Kraboa/Coaltar,-,-,-,92,4,15,-,-,-,"[ -2.451440, 6.313990, -1.918990, 6.775610 ]"
-2.42764195428418,6.92081117946518,69,GHA-69,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,West Akim,-,-,-,92,4,16,-,-,-,"[ -2.797110, 6.658170, -2.241910, 7.183380 ]"
-1.95181985780103,6.9499677138844,70,GHA-70,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Yilo Krobo,-,-,-,92,4,17,-,-,-,"[ -2.148110, 6.730440, -1.811570, 7.156120 ]"
-1.77648915622122,7.1653309008183,71,GHA-71,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Greater Accra,Accra Metropolis,-,-,-,92,5,1,-,-,-,"[ -2.140840, 6.864480, -1.633670, 7.469140 ]"
-1.54671332449944,6.99504849566407,72,GHA-72,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Greater Accra,Dangme East,-,-,-,92,5,2,-,-,-,"[ -1.713690, 6.809960, -1.410140, 7.166570 ]"
-1.57752318632377,6.80619153800631,73,GHA-73,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Greater Accra,Dangme West,-,-,-,92,5,3,-,-,-,"[ -1.714290, 6.724000, -1.431530, 6.885910 ]"
-0.748834507263155,7.12396773300439,74,GHA-74,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Greater Accra,Ga East,-,-,-,92,5,4,-,-,-,"[ -1.437520, 6.708460, -0.237420, 7.539470 ]"
-1.07345344223274,6.75952417933547,75,GHA-75,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Greater Accra,Ga West,-,-,-,92,5,5,-,-,-,"[ -1.311510, 6.480350, -0.749610, 7.038030 ]"
-0.669332683372169,6.64674559476913,76,GHA-76,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Greater Accra,Tema Municipal,-,-,-,92,5,6,-,-,-,"[ -0.985560, 6.412300, -0.363010, 6.876250 ]"
-0.746831201598736,6.50193283208712,77,GHA-77,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Bole,-,-,-,92,6,1,-,-,-,"[ -0.964310, 6.396900, -0.647630, 6.610430 ]"
-0.654979729674102,6.33206145453169,78,GHA-78,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Bunkpurugu-Yunyoo,-,-,-,92,6,2,-,-,-,"[ -0.880980, 6.177280, -0.430960, 6.475830 ]"
-0.82454400919538,6.18714496822791,79,GHA-79,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Central Gonja,-,-,-,92,6,3,-,-,-,"[ -1.033570, 5.958780, -0.570020, 6.415510 ]"
-1.01202610100351,5.8835568333544,80,GHA-80,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,East Gonja,-,-,-,92,6,4,-,-,-,"[ -1.263360, 5.719510, -0.691950, 6.047540 ]"
-1.0038251117153,5.61931570937251,81,GHA-81,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,East Mamprusi,-,-,-,92,6,5,-,-,-,"[ -1.147860, 5.492300, -0.858580, 5.757820 ]"
-1.27483806692129,5.53310229248078,82,GHA-82,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Gushiegu,-,-,-,92,6,6,-,-,-,"[ -1.447490, 5.339550, -1.053700, 5.707070 ]"
-1.17774374495006,5.25835231178978,83,GHA-83,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Karaga,-,-,-,92,6,7,-,-,-,"[ -1.310310, 5.117720, -1.062880, 5.400360 ]"
-1.29581513600177,5.17288336939979,84,GHA-84,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Nanumba North,-,-,-,92,6,8,-,-,-,"[ -1.365550, 5.094950, -1.215940, 5.246730 ]"
